step,t,max_u,plate_disp
73,4.56250000e-01,1.6666625969866780e-01,2.5496154966403339e-02
74,4.62500000e-01,1.6666625969866145e-01,2.5882213497770302e-02
75,4.68750000e-01,1.6666625969866472e-01,2.6268171274094101e-02
76,4.75000000e-01,1.6666625969865845e-01,2.6654029957492106e-02
77,4.81250000e-01,1.6666625969866236e-01,2.7039799024811132e-02
78,4.87500000e-01,1.6666625969865642e-01,2.7425484503242770e-02
79,4.93750000e-01,1.6666625969866009e-01,2.7811070841143138e-02
80,5.00000000e-01,1.6666625969865428e-01,2.8196577882133603e-02
81,5.06250000e-01,1.6666625969865800e-01,2.8581989789616007e-02
82,5.12500000e-01,1.6666625969865209e-01,2.8967519365916596e-02
83,5.18750000e-01,1.6666625969865650e-01,2.9352974321693079e-02
84,5.25000000e-01,1.6666625969865068e-01,2.9738343879580059e-02
85,5.31250000e-01,1.6666625969865492e-01,3.0123628511874407e-02
86,5.37500000e-01,1.6666625969864968e-01,3.0508833307836429e-02
87,5.43750000e-01,1.6666625969865334e-01,3.0893962121326324e-02
88,5.50000000e-01,1.6666625969864840e-01,3.1279000892007372e-02
89,5.56250000e-01,1.6666625969865245e-01,3.1663971831424165e-02
90,5.62500000e-01,1.6666625969864743e-01,3.2048862909756400e-02
91,5.68750000e-01,1.6666625969865134e-01,3.2433681276751281e-02
92,5.75000000e-01,1.6666625969864682e-01,3.2818413954848386e-02
93,5.81250000e-01,1.6666625969865043e-01,3.3203077620292898e-02
94,5.87500000e-01,1.6666625969864579e-01,3.3587651437303266e-02
95,5.93750000e-01,1.6666625969864976e-01,3.3972277253297684e-02
96,6.00000000e-01,1.6666625969864537e-01,3.4356894758146843e-02
97,6.06250000e-01,1.6666625969864907e-01,3.4741460067256799e-02
98,6.12500000e-01,1.6666625969864474e-01,3.5125929404142935e-02
99,6.18750000e-01,1.6666625969864862e-01,3.5510354849954004e-02
100,6.25000000e-01,1.6666625969864399e-01,3.5894674689024846e-02
101,6.31250000e-01,1.6666625969864809e-01,3.6278953478969436e-02
102,6.37500000e-01,1.6666625969864404e-01,3.6663135705041316e-02
103,6.43750000e-01,1.6666625969864779e-01,3.7047271418949305e-02
104,6.50000000e-01,1.6666625969864349e-01,3.7431311270181768e-02
105,6.56250000e-01,1.6666625969864754e-01,3.7815295793908292e-02
106,6.62500000e-01,1.6666625969864313e-01,3.8199196486635612e-02
107,6.68750000e-01,1.6666625969864735e-01,3.8583042680432972e-02
108,6.75000000e-01,1.6666625969864274e-01,3.8966795418699685e-02
109,6.81250000e-01,1.6666625969864682e-01,3.9350497899140933e-02
110,6.87500000e-01,1.6666625969864285e-01,3.9734109925749314e-02
111,6.93750000e-01,1.6666625969864624e-01,4.0117702447694706e-02
112,7.00000000e-01,1.6666625969864271e-01,4.0501345319940811e-02
113,7.06250000e-01,1.6666625969864599e-01,4.0884916807724984e-02
114,7.12500000e-01,1.6666625969864254e-01,4.1268406203255170e-02
115,7.18750000e-01,1.6666625969864587e-01,4.1651832587681750e-02
116,7.25000000e-01,1.6666625969864221e-01,4.2035177031744975e-02
