t,u_L2,p_L2,solid_force_L2,volume,inlet_scale,tip_dx,tip_dy,cyl_dx,cyl_dy,max_u,umax_x,umax_y,elapsed_s
3.10000000e-01,2.0625148680e+08,8.7203352792e+13,2.2526121310e+05,1.4815670016e+02,1.3681245527e+02,3.8410092661e-02,-4.7182949697e-02,7.5545619123e-03,3.7084802238e-05,2.9453575597e+02,18.5000,27.0000,1312.403
3.20000000e-01,2.2480575894e+08,8.5953672574e+13,2.2522449330e+05,1.4816141475e+02,1.4257792916e+02,2.0055003953e-02,-4.5009421251e-02,7.5931248545e-03,-3.8929991346e-05,3.1096480607e+02,18.5000,27.0000,1345.659
3.30000000e-01,2.4339929743e+08,8.2907895436e+13,2.2511278510e+05,1.4811507561e+02,1.4817536741e+02,-2.4535399000e-03,-4.4021916884e-02,6.9456885187e-03,-3.1774468399e-05,3.2918363010e+02,18.5000,27.0000,1380.150
3.40000000e-01,2.6200477865e+08,7.9213651991e+13,2.2502662327e+05,1.4807420448e+02,1.5358267950e+02,-2.0098070280e-02,-3.4329638922e-02,7.4689471881e-03,8.9944856557e-05,3.4241450431e+02,18.5000,27.0000,1413.164
3.50000000e-01,2.8101400993e+08,7.8189871064e+13,2.2501171849e+05,1.4804147037e+02,1.5877852523e+02,-4.2816483339e-02,-2.2663120232e-02,8.1733145047e-03,1.6249153115e-04,3.8882864403e+02,50.0000,21.5000,1452.523
3.60000000e-01,2.9995609479e+08,7.7152900625e+13,2.2485599298e+05,1.4800689400e+02,1.6374239897e+02,-6.5800578997e-02,-1.0328345035e-02,7.8113761406e-03,3.9987803699e-04,3.7402432564e+02,18.5000,27.0000,1490.275
3.70000000e-01,3.1779492856e+08,7.0419759519e+13,2.2471466078e+05,1.4802613894e+02,1.6845471059e+02,-8.8117836176e-02,8.9176714385e-03,6.3438471414e-03,3.1868306013e-04,3.8403947818e+02,18.5000,27.0000,1523.738
3.80000000e-01,3.3521839193e+08,6.3147946415e+13,2.2476265367e+05,1.4805829352e+02,1.7289686274e+02,-7.2887575524e-02,-1.0910473400e-02,8.0360612026e-03,-6.8216838484e-04,3.9855778771e+02,18.5000,27.0000,1560.640
3.90000000e-01,3.5211057745e+08,5.4913627698e+13,2.2472814199e+05,1.4806906213e+02,1.7705132428e+02,-7.6075395797e-02,-2.9886917684e-02,7.2655519681e-03,-8.2537585069e-04,4.1110408732e+02,18.5000,27.0000,1599.499
4.00000000e-01,3.6835100000e+08,4.6526681515e+13,2.2484593562e+05,1.4808102990e+02,1.8090169944e+02,-5.7926946848e-02,-5.7311087065e-02,8.5559653250e-03,-7.0178914235e-04,4.1921156664e+02,18.5000,27.0000,1637.513
4.10000000e-01,3.8409337070e+08,3.9443812365e+13,2.2488536032e+05,1.4808684646e+02,1.8443279255e+02,-5.2165042139e-02,-2.0527642086e-02,9.1149206600e-03,-4.9559475129e-04,4.3109689915e+02,18.5000,27.0000,1674.470
4.20000000e-01,3.9849322954e+08,3.3115938615e+13,2.2488021886e+05,1.4810925789e+02,1.8763066800e+02,-6.7290047302e-02,8.6675563407e-03,7.7990520472e-03,-1.5328186532e-04,4.3788041149e+02,18.5000,27.0000,1715.154
4.30000000e-01,4.1202667116e+08,3.1061825825e+13,2.2505471716e+05,1.4814914704e+02,1.9048270525e+02,-2.8567186785e-02,5.1067178961e-03,9.6021996021e-03,2.8933485260e-04,4.4647399337e+02,18.5000,27.0000,1750.091
4.40000000e-01,4.2458277510e+08,2.8042495160e+13,2.2502801754e+05,1.4817499134e+02,1.9297764859e+02,-4.1173199286e-02,1.9734223414e-02,8.3652724918e-03,6.8662137954e-04,4.5398312791e+02,18.5000,27.0000,1781.968
4.50000000e-01,4.3565204560e+08,2.7713464901e+13,2.2495648316e+05,1.4816916556e+02,1.9510565163e+02,-5.7396713180e-02,1.8788696312e-02,7.6330316863e-03,8.8172090260e-04,4.5887755854e+02,18.5000,27.0000,1814.617
4.60000000e-01,4.4557393594e+08,3.0130765722e+13,2.2485153600e+05,1.4817045975e+02,1.9685831611e+02,-7.4207572888e-02,3.9273894743e-02,7.9676734855e-03,1.4346108763e-03,4.6382083968e+02,18.5000,27.0000,1852.690
4.70000000e-01,4.5282336132e+08,1.6515265045e+13,2.2472869737e+05,1.4811803820e+02,1.9822872507e+02,-1.0006982013e-01,7.2637807722e-02,6.0021719617e-03,1.1616761720e-03,4.7061291590e+02,18.5000,27.0000,1887.670
4.80000000e-01,4.5855205833e+08,1.5835857399e+13,2.2500947593e+05,1.4812916524e+02,1.9921147013e+02,-3.9729112378e-02,9.6650283868e-02,9.8188652395e-03,1.0306868215e-03,4.7117727393e+02,18.5000,27.0000,1924.543
4.90000000e-01,4.6321916396e+08,8.8944729600e+12,2.2502339705e+05,1.4813740433e+02,1.9980267284e+02,-2.1681286209e-02,1.5445137986e-01,9.2888637481e-03,2.0768852281e-04,4.7014545760e+02,18.5000,27.0000,1955.840
5.00000000e-01,4.6585680281e+08,7.0479674285e+12,2.2491830521e+05,1.4814279949e+02,2.0000000000e+02,-4.2618349128e-02,2.1654141266e-01,7.3849825468e-03,1.3983059566e-05,4.7149373962e+02,18.5000,27.0000,1992.269
5.10000000e-01,4.6764834444e+08,7.6365667519e+12,2.2498560620e+05,1.4816828927e+02,2.0000000000e+02,-1.6764143138e-02,2.4070347032e-01,8.5566710592e-03,3.9492721374e-06,4.7061073999e+02,18.5000,27.0000,2025.276
5.20000000e-01,4.6968427881e+08,7.0264926095e+12,2.2491306917e+05,1.4816883554e+02,2.0000000000e+02,-2.5938016850e-02,3.1160546770e-01,7.7843564615e-03,4.6124872212e-04,4.6975488298e+02,19.0000,27.5000,2057.340
5.30000000e-01,4.7125859416e+08,7.1929529437e+12,2.2482049790e+05,1.4816578235e+02,2.0000000000e+02,-3.5231556115e-02,3.3981344671e-01,7.2058095213e-03,1.3383407501e-04,4.6893705880e+02,19.0000,27.5000,2090.544
5.40000000e-01,4.7297394418e+08,7.4182685856e+12,2.2479522583e+05,1.4818123723e+02,2.0000000000e+02,-2.2942558235e-02,2.6497832365e-01,8.1472745821e-03,1.1564186126e-03,4.6797940254e+02,19.0000,27.5000,2122.648
5.50000000e-01,4.7460538542e+08,9.7767238082e+12,2.2464721770e+05,1.4818723411e+02,2.0000000000e+02,-3.2674108003e-02,1.0704142558e-01,6.9390736385e-03,1.7052623479e-03,4.6797855715e+02,19.0000,27.5000,2156.390
5.60000000e-01,4.7660853083e+08,3.0355268532e+13,2.2460704315e+05,1.4818153798e+02,2.0000000000e+02,-1.9701266384e-02,-6.5178124826e-02,7.8213703924e-03,1.3870517814e-03,5.2004970261e+02,44.0000,22.0000,2198.984
5.70000000e-01,4.8601955408e+08,4.1626921204e+14,2.2441035373e+05,1.4799644683e+02,2.0000000000e+02,-2.5499701111e-02,-1.8208994493e-01,6.8290350269e-03,7.2189629487e-04,1.3947167822e+03,44.0000,22.0000,2234.633
