step,t,max_u
590,2.76562500e+00,3.4689777565047936e-01
591,2.77031250e+00,3.4689775585700178e-01
592,2.77500000e+00,3.4689520710508998e-01
593,2.77968750e+00,3.4689772384322548e-01
594,2.78437500e+00,3.4689583533471119e-01
595,2.78906250e+00,3.4689666171045852e-01
596,2.79375000e+00,3.4689846059519341e-01
597,2.79843750e+00,3.4689657945572505e-01
598,2.80312500e+00,3.4689898321080659e-01
599,2.80781250e+00,3.4689779935701981e-01
600,2.81250000e+00,3.4689822417630045e-01
601,2.81718750e+00,3.4689761758132576e-01
602,2.82187500e+00,3.4689758393794251e-01
603,2.82656250e+00,3.4689845158090610e-01
604,2.83125000e+00,3.4689590324532960e-01
605,2.83593750e+00,3.4689853317131092e-01
606,2.84062500e+00,3.4689663251454628e-01
607,2.84531250e+00,3.4689770210400767e-01
608,2.85000000e+00,3.4689783043535788e-01
