t,u_L2,p_L2,solid_force_L2,volume,inlet_scale,tip_dx,tip_dy,cyl_dx,cyl_dy,max_u,umax_x,umax_y,elapsed_s
3.60000000e-01,2.3780826781e+06,1.2720800912e+12,2.2536435876e+05,1.4843579592e+02,1.5567207450e+01,5.0383170688e-03,-5.9477856279e-03,7.3330895200e-04,-3.9434769988e-07,2.7883017234e+01,18.0000,28.5000,1172.384
3.70000000e-01,2.6471260354e+06,1.3391075897e+12,2.2536464617e+05,1.4843598187e+02,1.6419263863e+01,5.2115356322e-03,-6.4734996501e-03,7.5834768690e-04,-4.0474920969e-07,2.9425277120e+01,18.0000,28.5000,1208.494
3.80000000e-01,2.9377534639e+06,1.4072904001e+12,2.2536490589e+05,1.4843616541e+02,1.7291942573e+01,5.3847815639e-03,-7.0244473997e-03,7.8356303658e-04,-4.1420947186e-07,3.1007778074e+01,18.0000,28.5000,1238.449
3.90000000e-01,3.2509874631e+06,1.4765715869e+12,2.2536514098e+05,1.4843634682e+02,1.8185028257e+01,5.5587189289e-03,-7.6007487878e-03,8.0901435864e-04,-4.2146761621e-07,3.2630768798e+01,18.0000,28.5000,1274.040
4.00000000e-01,3.5878617810e+06,1.5468842980e+12,2.2536535008e+05,1.4843652574e+02,1.9098300563e+01,5.7330305303e-03,-8.2024770539e-03,8.3469179510e-04,-4.2685669126e-07,3.4294566040e+01,18.0000,28.5000,1305.335
4.10000000e-01,3.9494185288e+06,1.6181590833e+12,2.2536553160e+05,1.4843670170e+02,2.0031534151e+01,5.9073126630e-03,-8.8296072058e-03,8.6058386320e-04,-4.3067751310e-07,3.5999541536e+01,18.0000,28.5000,1346.281
4.20000000e-01,4.3367083489e+06,1.6903330249e+12,2.2536568778e+05,1.4843687484e+02,2.0984498762e+01,6.0819808762e-03,-9.4820280186e-03,8.8673586138e-04,-4.3228205243e-07,3.7746133555e+01,18.0000,28.5000,1379.368
4.30000000e-01,4.7507892100e+06,1.7633350387e+12,2.2536581759e+05,1.4843704480e+02,2.1956959266e+01,6.2567133699e-03,-1.0159488481e-02,9.1314222692e-04,-4.3005295144e-07,3.9534846418e+01,18.0000,28.5000,1410.924
4.40000000e-01,5.1927240739e+06,1.8370936719e+12,2.2536592067e+05,1.4843721127e+02,2.2948675722e+01,6.4312999841e-03,-1.0861582057e-02,9.3980845923e-04,-4.2320257090e-07,4.1366242683e+01,18.0000,28.5000,1451.230
4.50000000e-01,5.6635808220e+06,1.9115408872e+12,2.2536599873e+05,1.4843737423e+02,2.3959403440e+01,6.6059701802e-03,-1.1587785050e-02,9.6677071003e-04,-4.1057982192e-07,4.3240949833e+01,18.0000,28.5000,1487.154
4.60000000e-01,6.1644307521e+06,1.9866023219e+12,2.2536605125e+05,1.4843753330e+02,2.4988893037e+01,6.7804363684e-03,-1.2337488961e-02,9.9403030022e-04,-3.9102828770e-07,4.5159658507e+01,18.0000,28.5000,1519.845
4.70000000e-01,6.6963466722e+06,2.0622042000e+12,2.2536607861e+05,1.4843768817e+02,2.6036890502e+01,6.9545854680e-03,-1.3109944086e-02,1.0216031974e-03,-3.6373792256e-07,4.7123120043e+01,18.0000,28.5000,1565.921
4.80000000e-01,7.2604025455e+06,2.1382740511e+12,2.2536608224e+05,1.4843783866e+02,2.7103137258e+01,7.1285132299e-03,-1.3904225070e-02,1.0495202469e-03,-3.2884608236e-07,4.9132154704e+01,18.0000,28.5000,1595.055
4.90000000e-01,7.8576718470e+06,2.2147346807e+12,2.2536606211e+05,1.4843798431e+02,2.8187370224e+01,7.3019725863e-03,-1.4719220129e-02,1.0777898454e-03,-2.8594032897e-07,5.1187656040e+01,18.0000,28.5000,1630.054
5.00000000e-01,8.4892259521e+06,2.2915096841e+12,2.2536601912e+05,1.4843812469e+02,2.9289321881e+01,7.4748872302e-03,-1.5553600768e-02,1.1064341573e-03,-2.3408445951e-07,5.3290601986e+01,18.0000,28.5000,1662.211
5.10000000e-01,9.1561335073e+06,2.3685226407e+12,2.2536595457e+05,1.4843825944e+02,3.0408720341e+01,7.6472582673e-03,-1.6405785196e-02,1.1354812161e-03,-1.7245300174e-07,5.5442076543e+01,18.0000,28.5000,1693.478
5.20000000e-01,9.8594587413e+06,2.4456937009e+12,2.2536586889e+05,1.4843838796e+02,3.1545289407e+01,7.8188709498e-03,-1.7273978768e-02,1.1649452998e-03,-1.0036053140e-07,5.7643293955e+01,18.0000,28.5000,1730.176
5.30000000e-01,1.0600260031e+07,2.5229436934e+12,2.2536576327e+05,1.4843850970e+02,3.2698748649e+01,7.9896509948e-03,-1.8156223040e-02,1.1948517084e-03,-1.6594386646e-08,5.9895634196e+01,18.0000,28.5000,1769.739
5.40000000e-01,1.1379589025e+07,2.6001927824e+12,2.2536563899e+05,1.4843862411e+02,3.3868813468e+01,8.1595334200e-03,-1.9050401833e-02,1.2252266860e-03,7.9676081177e-08,6.2200690934e+01,18.0000,28.5000,1799.309
5.50000000e-01,1.2198488956e+07,2.6773588314e+12,2.2536549686e+05,1.4843873050e+02,3.5055195167e+01,8.3283248104e-03,-1.9954240911e-02,1.2560882993e-03,1.8851573483e-07,6.4560324268e+01,18.0000,28.5000,1828.368
5.60000000e-01,1.3057993290e+07,2.7543603669e+12,2.2536533823e+05,1.4843882826e+02,3.6257601025e+01,8.4959370795e-03,-2.0865331151e-02,1.2874623706e-03,3.1001784589e-07,6.6976721742e+01,18.0000,28.5000,1868.299
5.70000000e-01,1.3959124644e+07,2.8311153174e+12,2.2536516446e+05,1.4843891679e+02,3.7475734366e+01,8.6622627236e-03,-2.1781125521e-02,1.3193730969e-03,4.4472266739e-07,6.9452460316e+01,18.0000,28.5000,1905.974
5.80000000e-01,1.4902893120e+07,2.9075405900e+12,2.2536497668e+05,1.4843899550e+02,3.8709294635e+01,8.8271248387e-03,-2.2698926650e-02,1.3518397093e-03,5.9314684052e-07,7.1990553973e+01,18.0000,28.5000,1936.501
5.90000000e-01,1.5890294985e+07,2.9835542703e+12,2.2536477645e+05,1.4843906396e+02,3.9957977467e+01,8.9904226553e-03,-2.3615921462e-02,1.3848860743e-03,7.5593952129e-07,7.4594472283e+01,18.0000,28.5000,1967.929
6.00000000e-01,1.6922311446e+07,3.0590748088e+12,2.2536456530e+05,1.4843912188e+02,4.1221474771e+01,9.1520307621e-03,-2.4529248055e-02,1.4185330794e-03,9.3437551915e-07,7.7268104476e+01,18.0000,28.5000,1998.859
6.10000000e-01,1.7999907054e+07,3.1340214528e+12,2.2536434473e+05,1.4843916917e+02,4.2499474796e+01,9.3117948960e-03,-2.5436041217e-02,1.4527982077e-03,1.1299156067e-06,8.0046133901e+01,17.5000,28.0000,2034.752
6.20000000e-01,1.9124028422e+07,3.2083160081e+12,2.2536411657e+05,1.4843920607e+02,4.3791662215e+01,9.4696181139e-03,-2.6333470756e-02,1.4877009200e-03,1.3437105302e-06,8.2947833656e+01,17.5000,28.0000,2067.519
6.30000000e-01,2.0295602987e+07,3.2818825358e+12,2.2536388269e+05,1.4843923314e+02,4.5097718200e+01,9.6253869231e-03,-2.7218793826e-02,1.5232569872e-03,1.5769143210e-06,8.5936787801e+01,17.5000,28.0000,2099.324
6.40000000e-01,2.1515537556e+07,3.3546482020e+12,2.2536364504e+05,1.4843925137e+02,4.6417320502e+01,9.7789870207e-03,-2.8089386431e-02,1.5594793503e-03,1.8312102204e-06,8.9014748560e+01,17.5000,28.0000,2132.022
6.50000000e-01,2.2784717183e+07,3.4265445149e+12,2.2536340590e+05,1.4843926224e+02,4.7750143528e+01,9.9303499890e-03,-2.8942749929e-02,1.5963808676e-03,2.1085161394e-06,9.2181549565e+01,17.5000,28.0000,2173.902
6.60000000e-01,2.4104004030e+07,3.4975070105e+12,2.2536316763e+05,1.4843926766e+02,4.9095858425e+01,1.0079400631e-02,-2.9776537707e-02,1.6339703553e-03,2.4111577806e-06,9.5434476664e+01,17.5000,28.0000,2204.255
6.70000000e-01,2.5474236181e+07,3.5674756017e+12,2.2536293276e+05,1.4843927003e+02,5.0454133157e+01,1.0226075318e-02,-3.0588610217e-02,1.6722538283e-03,2.7422854554e-06,9.8767801720e+01,17.5000,28.0000,2237.198
6.80000000e-01,2.6896226695e+07,3.6363945457e+12,2.2536270407e+05,1.4843927211e+02,5.1824632590e+01,1.0370339965e-02,-3.1377077112e-02,1.7112356727e-03,3.1058635913e-06,1.0217264010e+02,17.5000,28.0000,2268.644
6.90000000e-01,2.8370762631e+07,3.7042110709e+12,2.2536248438e+05,1.4843927689e+02,5.3207018574e+01,1.0512148489e-02,-3.2140330362e-02,1.7509159772e-03,3.5060598166e-06,1.0563726231e+02,17.5000,28.0000,2297.697
7.00000000e-01,2.9898604024e+07,3.7708742322e+12,2.2536227657e+05,1.4843928742e+02,5.4600950026e+01,1.0651452020e-02,-3.2877078333e-02,1.7912916453e-03,3.9473992815e-06,1.0914790634e+02,17.5000,28.0000,2333.406
7.10000000e-01,3.1480482975e+07,3.8363331989e+12,2.2536208360e+05,1.4843930659e+02,5.6006083014e+01,1.0788194958e-02,-3.3586357019e-02,1.8323566387e-03,4.4349031020e-06,1.1269000640e+02,17.5000,28.0000,2368.281
7.20000000e-01,3.3117102605e+07,3.9005348783e+12,2.2536190825e+05,1.4843933685e+02,5.7422070843e+01,1.0922279183e-02,-3.4267499024e-02,1.8741002107e-03,4.9739438973e-06,1.1632981226e+02,18.0000,28.0000,2399.283
7.30000000e-01,3.4809135905e+07,3.9634221952e+12,2.2536175317e+05,1.4843938002e+02,5.8848564139e+01,1.1053565577e-02,-3.4920095269e-02,1.9165077765e-03,5.5700084641e-06,1.2002187817e+02,18.0000,28.0000,2437.915
7.40000000e-01,3.6557224557e+07,4.0249326536e+12,2.2536162079e+05,1.4843943714e+02,6.0285210937e+01,1.1181864324e-02,-3.5543962264e-02,1.9595608856e-03,6.2289912107e-06,1.2372022553e+02,18.0000,28.0000,2469.247
7.50000000e-01,3.8361977583e+07,4.0849974709e+12,2.2536151325e+05,1.4843950837e+02,6.1731656763e+01,1.1306915736e-02,-3.6139100563e-02,2.0032364946e-03,6.9569707455e-06,1.2741566556e+02,18.0000,28.0000,2501.256
7.60000000e-01,4.0223969907e+07,4.1435420354e+12,2.2536143240e+05,1.4843959306e+02,6.3187544732e+01,1.1428401223e-02,-3.6705642060e-02,2.0475082136e-03,7.7596992097e-06,1.3110232039e+02,18.0000,28.0000,2542.244
7.70000000e-01,4.2143740926e+07,4.2004870877e+12,2.2536137991e+05,1.4843968985e+02,6.4652515622e+01,1.1545947444e-02,-3.7243804971e-02,2.0923469616e-03,8.6422497933e-06,1.3477727761e+02,18.0000,28.0000,2577.034
7.80000000e-01,4.4121793035e+07,4.2557504956e+12,2.2536135723e+05,1.4843979687e+02,6.6126207975e+01,1.1659130206e-02,-3.7753840095e-02,2.1377216309e-03,9.6090837135e-06,1.3843990033e+02,18.0000,28.0000,2606.599
7.90000000e-01,4.6158590233e+07,4.3092495580e+12,2.2536136573e+05,1.4843991199e+02,6.7608258180e+01,1.1767495255e-02,-3.8235955963e-02,2.1836009288e-03,1.0663797980e-05,1.4209103898e+02,18.0000,28.0000,2647.709
8.00000000e-01,4.8254556859e+07,4.3609030608e+12,2.2536140682e+05,1.4844003300e+02,6.9098300563e+01,1.1870567848e-02,-3.8690241058e-02,2.2299544380e-03,1.1809073951e-05,1.4580510518e+02,17.5000,27.5000,2678.008
8.10000000e-01,5.0410076424e+07,4.4106329517e+12,2.2536148192e+05,1.4844015781e+02,7.0595967477e+01,1.1967859441e-02,-3.9116606730e-02,2.2767534708e-03,1.3046924692e-05,1.4955224040e+02,17.5000,27.5000,2709.881
8.20000000e-01,5.2625490590e+07,4.4583656320e+12,2.2536159258e+05,1.4844028457e+02,7.2100889396e+01,1.2058879200e-02,-3.9514742963e-02,2.3239721380e-03,1.4378933899e-05,1.5329712269e+02,17.5000,27.5000,2741.909
8.30000000e-01,5.4901098281e+07,4.5040325992e+12,2.2536174051e+05,1.4844041169e+02,7.3612695003e+01,1.2143133674e-02,-3.9884090878e-02,2.3715874145e-03,1.5806019051e-05,1.5704079602e+02,17.5000,27.5000,2774.298
8.40000000e-01,5.7237154873e+07,4.5475706861e+12,2.2536192750e+05,1.4844053793e+02,7.5131011284e+01,1.2220125452e-02,-4.0223842931e-02,2.4195789499e-03,1.7328335737e-05,1.6078404501e+02,17.5000,27.5000,2815.725
