x,Curve1
2.11712,0.360926
2.1247,0.366218
2.13423,0.371268
2.14159,0.375201
2.15111,0.379377
2.16106,0.383358
2.17382,0.387146
2.18723,0.390205
2.1989,0.392584
2.21425,0.395158
2.22591,0.395693
2.23736,0.395887
2.25464,0.395791
2.27407,0.394432
2.29199,0.392442
2.30667,0.390889
2.31703,0.387734
2.32803,0.385404
2.33947,0.382686
2.34961,0.379482
2.35694,0.376375
2.36707,0.37254
2.37634,0.36885
2.38713,0.365355
2.39402,0.362103
2.40179,0.358559
2.41149,0.354627
2.41795,0.351277
2.42463,0.34715
2.4326,0.341519
2.44035,0.337198
2.44811,0.333266
2.45393,0.329431
2.45974,0.324964
2.46728,0.320061
2.47891,0.312973
2.48817,0.306953
2.49398,0.301759
2.5013,0.296807
2.50905,0.290593
2.5209,0.282291
2.52649,0.276514
2.53661,0.270057
2.54565,0.262969
2.55491,0.255638
2.56265,0.248793
2.56825,0.243404
2.57578,0.236996
2.58954,0.223451
2.60353,0.211994
2.61149,0.204032
2.61945,0.197186
2.62655,0.190681
2.63538,0.183787
2.64161,0.177379
2.64807,0.172136
2.6556,0.165679
2.66852,0.157037
2.67605,0.149998
2.68466,0.143298
2.69888,0.134802
2.70641,0.127472
2.71675,0.121937
2.72817,0.114704
2.74045,0.108344
2.74799,0.102858
2.75596,0.098683
2.76653,0.095382
2.77364,0.09179
2.78507,0.088198
2.79392,0.086159
2.80234,0.084557
2.8086,0.083392
2.81896,0.08315
2.83495,0.083782
2.84684,0.08519
2.8544,0.086695
2.86348,0.089172
2.8717,0.091503
2.87927,0.093591
2.88555,0.097232
2.89183,0.100291
2.89854,0.104224
2.9059,0.108691
2.91133,0.113643
2.91674,0.117527
2.92065,0.122091
2.92563,0.125393
2.92996,0.128161
2.93345,0.134569
2.93974,0.140396
2.94322,0.146222
2.95015,0.151708
2.95385,0.156369
2.9582,0.163361
2.96298,0.170304
2.96841,0.176615
2.97426,0.182199
2.97926,0.188656
2.98122,0.194045
2.9858,0.20327
2.99123,0.21031
2.99385,0.216767
2.99949,0.222885
