x,Curve1
0.77189,0.088052
0.77664,0.086837
0.78095,0.085428
0.78765,0.08368
0.79326,0.082708
0.79888,0.081251
0.80535,0.080475
0.81442,0.079747
0.83861,0.080966
0.84854,0.082086
0.85394,0.083253
0.85934,0.084275
0.86323,0.086025
0.87014,0.087533
0.87662,0.089429
0.88181,0.091861
0.8857,0.093805
0.89045,0.095945
0.89628,0.097987
0.90147,0.099981
0.90514,0.101926
0.90817,0.103579
0.91119,0.106107
0.91681,0.108829
0.91983,0.112184
0.92351,0.114906
0.92675,0.117629
0.92934,0.120254
0.93302,0.123025
0.93518,0.125309
0.93777,0.128566
0.9408,0.131629
0.9449,0.134352
0.94944,0.138192
0.95139,0.141595
0.95442,0.144949
0.95809,0.147283
0.96003,0.150199
0.96241,0.153456
0.96673,0.156713
0.96868,0.160991
0.97192,0.164686
0.97322,0.168623
0.97431,0.172025
0.97949,0.176887
0.98122,0.180872
0.9849,0.186171
0.98793,0.1904
0.99095,0.194775
0.99333,0.200171
0.99702,0.21417
0.99723,0.205275
0.99875,0.218204
1.0009,0.209601
1.00221,0.22185
1.00437,0.225301
1.00696,0.229482
1.00934,0.233808
1.01172,0.237745
1.01324,0.241537
1.01713,0.245377
1.01778,0.249266
1.02081,0.252814
1.02448,0.260738
1.0247,0.256703
1.02902,0.265599
1.03205,0.26905
1.03551,0.274057
1.03767,0.277654
1.03983,0.281786
1.04157,0.285237
1.04567,0.288883
1.04956,0.292772
1.05043,0.296126
1.05432,0.299869
1.05691,0.303758
1.06016,0.307307
1.06728,0.309981
1.07312,0.314697
1.07744,0.317468
1.08306,0.320774
1.08846,0.324323
1.09149,0.326948
1.09818,0.330352
1.10164,0.332831
1.10769,0.335797
1.11201,0.338471
1.11914,0.341146
1.12562,0.344403
1.13297,0.346592
1.1388,0.349363
1.14593,0.352038
1.15219,0.354177
1.15759,0.355976
1.1645,0.358213
1.17509,0.360354
1.18783,0.361765
1.19625,0.362982
1.2077,0.363761
1.22001,0.363763
1.23448,0.364543
1.24484,0.363476
1.25132,0.362019
1.2578,0.360999
1.2632,0.359493
1.26751,0.358279
1.2755,0.357113
1.28695,0.35765
1.29991,0.358284
1.30984,0.358431
1.31869,0.357266
1.32474,0.35576
1.33294,0.354304
1.34266,0.351583
1.3487,0.349251
1.3554,0.34726
1.36317,0.344733
1.36986,0.342256
1.37591,0.339924
1.38173,0.33764
1.38864,0.334968
1.3962,0.33283
1.40354,0.330887
1.41153,0.327632
1.42038,0.325106
1.42599,0.322142
1.43096,0.319664
1.437,0.316749
1.44088,0.31325
1.44671,0.309703
1.45319,0.305864
1.4588,0.30256
1.46571,0.297846
1.47261,0.293327
1.47973,0.288662
1.48448,0.284483
1.49009,0.280206
1.49506,0.27559
1.4998,0.270876
1.5052,0.265968
1.51124,0.260768
1.51685,0.256103
1.52375,0.250223
1.53001,0.245266
1.53476,0.240844
1.53951,0.236081
1.54533,0.232339
1.54965,0.2285
1.55418,0.224515
1.55871,0.22019
1.56497,0.215865
1.57209,0.208916
1.57857,0.20464
1.58396,0.200704
1.59044,0.19633
1.59777,0.190305
1.60317,0.185639
1.60921,0.181946
1.61569,0.178399
1.62108,0.174706
1.62756,0.171499
1.63382,0.167709
1.63965,0.162606
1.64677,0.158282
1.65152,0.154929
1.65929,0.150264
1.6636,0.146522
1.67029,0.142878
1.6759,0.138601
1.67979,0.134471
1.68842,0.130341
1.69403,0.124995
1.70202,0.120427
1.70849,0.116637
1.71454,0.112896
1.71972,0.110223
1.72641,0.106968
1.73332,0.103324
1.74022,0.100311
1.7467,0.098125
