demo-340-000092-y_displacement_step,demo-340-000091-y_displacement_step,demo-340-000090-y_displacement_step
0.2289493274382225,0.21111120289804075,0.18197851879008853
0.2196700753545867,0.2021343160652701,0.1742301989766738
0.21031885014215834,0.19418914021765799,0.1671163277823059
0.20067133121903924,0.1860862543044931,0.159429042900043
0.1921251962139211,0.17796727009242164,0.15206528616626336
0.18364540029708565,0.17030248177412066,0.14580849700901732
0.17548960992256368,0.16275694129466356,0.1396188697586992
0.16804339815294045,0.1554738803260084,0.13345176806153403
0.1606058814848087,0.14869116881737854,0.1280370102885907
0.15365745477380288,0.14294015389064396,0.12355317525433451
0.1476406725392413,0.13710733852431012,0.1197437524130246
0.14256390259428964,0.13189088553106354,0.11575271124553732
0.13749838830212047,0.1275363770218746,0.11220358040729017
0.1330940917722475,0.12418953195546434,0.10900700288961362
0.1296269241178779,0.1219534627184028,0.10626185108207487
0.12711666724160453,0.12014400139132186,0.10413142535456921
0.12548359776544593,0.11882328704590195,0.10286234951391615
0.12487210150780437,0.11836686839574562,0.10245576392020339
0.1251972012835566,0.11868168232044296,0.10289204064969726
0.12636408582806025,0.11971303559599622,0.10429225859734303
0.12827857300006495,0.12165396076135415,0.10677252461388209
0.1309599593422489,0.12474022676033247,0.1100433175094967
0.13444064576094983,0.1287910518324501,0.11431355175399116
0.13903396233198417,0.13360239009204566,0.11973426618585414
0.1447444022043799,0.13967014934572963,0.12635979044897183
0.15193993122568916,0.14697539732128828,0.13358736010194405
0.15974776075618713,0.1554835277878014,0.14180311351108033
0.16892546685188325,0.16460405230193087,0.15119911228491822
0.17957833723719008,0.17526063334607012,0.1608642111892481
0.19111960514843818,0.1870277847694991,0.17165738569269495
0.2037335475308567,0.1994507622539855,0.18396640957467014
0.21730477082860722,0.21289576063522675,0.1967420480730483
0.23147713132207637,0.22709628654500646,0.2103983027130577
0.2461439577763519,0.24184201056116283,0.22471848054818333
0.2616694300559256,0.25721702449543626,0.23935520852143888
0.2769569402055684,0.27240601543794096,0.25428298733744603
0.292798225434315,0.2879086696101868,0.2685717996424658
0.3085782715479283,0.3033150665779619,0.28275024297757423
0.3230278665740939,0.3177942230780263,0.2961608034773143
0.33723117905339495,0.3313425056827256,0.30923862722922746
0.35027918816528214,0.3439391623692464,0.3204905981103078
0.36265809148349415,0.3559242750899888,0.3313799768362943
0.3736331211460452,0.366285117562518,0.3412814549879116
0.3836854005636533,0.37566307300889556,0.3503910930486559
0.39248885985564474,0.38415198942821493,0.3586393841444274
0.4004376649624187,0.39159540170466867,0.3654681703653927
0.4074757028855204,0.39823998629217605,0.37184308611714456
0.4129187773559707,0.40446226892841175,0.3778341283571486
0.41774797015070975,0.40926171368352426,0.38241616767823927
0.42217975779202666,0.41318452575310716,0.3863044612450369
0.42636473916215134,0.4168357657021534,0.39019182275941644
0.4300028036183866,0.42022515228667146,0.3934946222816792
0.4328323555270924,0.4230965192652404,0.3960257613645103
0.4350805798020597,0.42544163705010984,0.3982038496357697
0.4374870302924577,0.427622971363545,0.3999288083764968
0.44004525834288366,0.42987794259830536,0.4010973677326687
0.442247881801345,0.43166790219798756,0.4017506897729296
0.4439214910975592,0.43278687654028347,0.4020238503802619
0.4451408922732304,0.4336741912188836,0.402026790894192
0.44599742141865073,0.4344424805207979,0.40180986211195113
0.446524294430949,0.43486288920899685,0.40138890737284216
0.44668912553039364,0.43479026421479505,0.4007602480932356
0.4464424440950484,0.4342900975280656,0.3998970109061587
0.44578233877955864,0.4334729531611584,0.398756948625972
0.44472961217901996,0.4324076768325361,0.39730028208795753
0.4433142636168287,0.43121362140948116,0.3955649750964979
0.44161628776391326,0.43013530057861493,0.3936697512164621
0.4397010297914269,0.42875750571346083,0.39175449715830324
0.43761043758274265,0.42609492233781154,0.3898277647663254
0.43526495103279006,0.4225755406011923,0.38762495572066225
0.4327878370155328,0.41887315826434357,0.38464678965644283
0.43052306679487684,0.4151476700862816,0.38084466123985894
0.42900260283282987,0.41105382209443053,0.37741766602904236
0.42643538697803807,0.4068480949842802,0.3738657156291866
0.42273887437461755,0.40324218063544437,0.3688798884595875
0.418949011111475,0.400081467632296,0.36348361326397327
0.4151552885320787,0.39633003715965887,0.3581073241885503
0.4110403719454284,0.3922755467350504,0.3525294804368345
0.40624572878694065,0.3884900821588152,0.34697227101473527
0.40163118753324245,0.38464768076893974,0.3413974927101152
0.39668126995642805,0.38001929250476485,0.3357160238542186
0.39139550069389994,0.3754364457146563,0.32999225903002716
0.3853803461261561,0.36978931792664305,0.3242750768753456
0.37917402065885575,0.3630460989158669,0.31745002370559205
0.37340296235631054,0.3556231315505033,0.31019146045023216
0.3667686125515782,0.3484513619205317,0.30290703241879247
0.3593496376338431,0.3405325519394794,0.29603789936144176
0.35147326843549054,0.3311344790496361,0.2883119766678738
0.343505850680644,0.3221506309972445,0.2802352932422788
0.3345373876464862,0.31324453531767993,0.2729743730165254
0.32538887400826366,0.30384553157927285,0.26531489017836185
0.31634402073951573,0.294812989108277,0.2569786302150593
0.30684434781326886,0.28567077340299785,0.2488405265386907
0.2972522834604777,0.2756777677194805,0.2408818562070988
